"","split","nodesize","mtry","cluster_group","OOB","MSPE","rmspe"
"33",2,4,4,5,4.58480161603634,4.55114994786822,2.13334243567886
"34",2,4,6,2,4.64348806832451,4.61503925142119,2.14826424152644
"35",2,4,8,7,4.68437935126886,4.59573089318476,2.14376558727505
"36",2,6,1,4,5.3084176828176,5.79926099833723,2.40816548400172
"37",2,6,2,1,4.61476206584472,4.65654120424051,2.15790203768394
"38",2,6,4,6,4.60010559771111,4.48926865544832,2.11878943159728
"39",2,6,6,3,4.6286345637995,4.54451416792248,2.1317866140687
"40",2,6,8,8,4.6645505094696,4.5724258650168,2.13832314326362
"41",2,8,1,5,5.27071497474192,5.80565970246529,2.40949366101372
"42",2,8,2,2,4.5927404310988,4.66602276953222,2.16009786110079
"43",2,8,4,7,4.58163230626672,4.50351874636121,2.12214955796268
"44",2,8,6,4,4.62160285173238,4.51956199063927,2.1259261489147
"45",2,8,8,1,4.66793132441701,4.56508206907853,2.13660526749293
"46",2,10,1,6,5.28564419021106,5.77173107968936,2.40244273182304
"47",2,10,2,3,4.6008354704162,4.687994511273,2.16517770893592
"48",2,10,4,8,4.5792374317614,4.49109937515577,2.1192214077712
"49",2,10,6,5,4.6125062634642,4.50960384502171,2.12358278506436
"50",2,10,8,2,4.65173028530544,4.52410061333427,2.12699332705448
"51",3,2,1,3,5.26551844561935,5.63064002551498,2.37289696900539
"52",3,2,2,8,4.63144550875724,4.7097901492297,2.1702050938171
"53",3,2,4,5,4.61934015624719,4.59505797583463,2.14360863401756
"54",3,2,6,2,4.6864086737291,4.6433021372093,2.15483227588815
"55",3,2,8,7,4.72863586951158,4.68913478604651,2.16544101421547
"56",3,4,1,4,5.26572971270215,5.65673430285945,2.37838901419836
"57",3,4,2,1,4.62292752413501,4.73350729805393,2.1756624963569
"58",3,4,4,6,4.61665974854643,4.69324517855685,2.16638989532283
"59",3,4,6,3,4.65935608322279,4.63266875988501,2.15236352874811
"60",3,4,8,8,4.73924206203068,4.64047185322998,2.15417544625083
"61",3,6,1,5,5.30055669865587,5.67710468640583,2.38266755683747
"62",3,6,2,2,4.60802462323308,4.67135381318877,2.16133149081504
"63",3,6,4,7,4.61702108833119,4.63277274521745,2.15238768469285
"64",3,6,6,4,4.66797962851028,4.67710928088759,2.16266254438541
"65",3,6,8,1,4.72324387045352,4.70302485313178,2.16864585701119
"66",3,8,1,6,5.26517832616288,5.64875128567933,2.37671018125461
"67",3,8,2,3,4.61417113399344,4.75069449514078,2.17960879405933
"68",3,8,4,8,4.60606360523049,4.6439737785889,2.15498811564911
"69",3,8,6,5,4.64647748461753,4.67650677540686,2.16252324274373
"70",3,8,8,2,4.70631619746382,4.66001713725051,2.15870728382764
"71",3,10,1,7,5.29913722787943,5.67094653597925,2.38137492553761
"72",3,10,2,4,4.60311119192697,4.74018434022795,2.17719644043158
"73",3,10,4,1,4.58888622649749,4.64363005180394,2.15490836273934
"74",3,10,6,6,4.64794564103535,4.66857374139188,2.16068825641088
"75",3,10,8,3,4.69362568351548,4.63847732464603,2.15371245170892
"76",4,2,1,4,5.32476675422884,4.92041552612067,2.21820096612563
"77",4,2,2,1,4.60287800428363,4.61963360513138,2.14933329317055
"78",4,2,4,6,4.61253031598713,4.80039901875335,2.19098129128328
"79",4,2,6,3,4.63715317483692,4.87703411231884,2.20840080427418
"80",4,2,8,8,4.67749732927232,4.98667518115942,2.2330864697005
"81",4,4,1,5,5.28562006120663,4.9060570172669,2.21496208032257
"82",4,4,2,2,4.59908769012963,4.62461689111832,2.15049224391029
"83",4,4,4,7,4.59287925642876,4.77164974033682,2.18441061623881
"84",4,4,6,4,4.62338194983333,4.80925531548577,2.19300143991876
"85",4,4,8,1,4.66123304067359,4.95016419806763,2.22489644659423
"86",4,6,1,6,5.31689173053423,4.9360064234221,2.22171249792184
"87",4,6,2,3,4.59688494376294,4.60113549309319,2.14502575581115
"88",4,6,4,8,4.57288323899586,4.76758149677268,2.18347921830566
"89",4,6,6,5,4.62042806344753,4.87206736688808,2.20727600605092
"90",4,6,8,2,4.65546345985135,4.94424821561326,2.22356655299842
"91",4,8,1,7,5.30551933375746,4.96076481706815,2.22727744501401
"92",4,8,2,4,4.58249678175773,4.65919805509005,2.15851755959734
"93",4,8,4,1,4.57008331635471,4.7243511122353,2.17355724843752
"94",4,8,6,6,4.63127864805516,4.85339436430121,2.20304207047918
"95",4,8,8,3,4.65179430690061,4.9489671390544,2.22462741578324
"96",4,10,1,8,5.32495700631344,4.92099245686313,2.21833100705533
"97",4,10,2,5,4.57639161532197,4.59933715303293,2.14460652638961
"98",4,10,4,2,4.57016429000213,4.76066557566962,2.18189495064946
"99",4,10,6,7,4.59214974843117,4.82782306623023,2.19723077218353
"100",4,10,8,4,4.65423541625497,4.90886010036731,2.21559475093423
"101",5,2,1,5,5.27204769024624,5.18363801669745,2.27676042145357
"102",5,2,2,2,4.63678709625945,4.30783233456101,2.07553181969369
"103",5,2,4,7,4.63252197837294,4.18281778284594,2.04519382525127
"104",5,2,6,4,4.68109064679828,4.15455234447005,2.03827190150628
"105",5,2,8,1,4.7115930912008,4.12990692281106,2.03221724301588
