"","iter","eta","nrounds","max_depth","subsample","rmse","predict"
"200",1,0.1,1000,30,1,9.0322446,9.08806478354221
"201",1,0.2,20,3,0.5,8.111912,8.17505828367657
"202",1,0.2,20,3,0.6,8.118234,8.15329543444403
"203",1,0.2,20,3,0.75,8.1117014,8.17280462296577
"204",1,0.2,20,3,0.9,8.1195954,8.17073500607116
"205",1,0.2,20,3,1,8.1154494,8.17324718697987
"206",1,0.2,20,6,0.5,8.1197242,8.1539549816929
"207",1,0.2,20,6,0.6,8.1110042,8.14069398800117
"208",1,0.2,20,6,0.75,8.103817,8.13681684625601
"209",1,0.2,20,6,0.9,8.0976264,8.15985592067909
"210",1,0.2,20,6,1,8.1020604,8.14334594652359
"211",1,0.2,20,12,0.5,8.1146098,8.14087264889447
"212",1,0.2,20,12,0.6,8.1119132,8.13575102292231
"213",1,0.2,20,12,0.75,8.108949,8.17538607063673
"214",1,0.2,20,12,0.9,8.109,8.16051392573387
"215",1,0.2,20,12,1,8.1051296,8.14623702269327
"216",1,0.2,20,20,0.5,8.1113602,8.15588092287174
"217",1,0.2,20,20,0.6,8.1031248,8.13374933167409
"218",1,0.2,20,20,0.75,8.1024836,8.13082295024595
"219",1,0.2,20,20,0.9,8.1062448,8.13228508059856
"220",1,0.2,20,20,1,8.105818,8.14623702269327
"221",1,0.2,20,30,0.5,8.1109968,8.17252966191244
"222",1,0.2,20,30,0.6,8.1073828,8.12827670775753
"223",1,0.2,20,30,0.75,8.1107866,8.12381031198007
"224",1,0.2,20,30,0.9,8.0995218,8.15172848703768
"225",1,0.2,20,30,1,8.1011022,8.14623702269327
"226",1,0.2,200,3,0.5,8.1089628,8.15695074320763
"227",1,0.2,200,3,0.6,8.1119828,8.16948939409352
"228",1,0.2,200,3,0.75,8.1169902,8.16651521617036
"229",1,0.2,200,3,0.9,8.1136226,8.17527687649911
"230",1,0.2,200,3,1,8.1144216,8.17324718697987
"231",1,0.2,200,6,0.5,8.1149618,8.15354691552775
"232",1,0.2,200,6,0.6,8.10885,8.15660286033831
"233",1,0.2,200,6,0.75,8.1073872,8.14489578390963
"234",1,0.2,200,6,0.9,8.1002902,8.1483617914038
"235",1,0.2,200,6,1,8.1005232,8.14334594652359
"236",1,0.2,200,12,0.5,8.1082632,8.16639214305478
"237",1,0.2,200,12,0.6,8.1138136,8.14734773648079
"238",1,0.2,200,12,0.75,8.1067474,8.13138054899449
"239",1,0.2,200,12,0.9,8.1025592,8.15213824052696
"240",1,0.2,200,12,1,8.0995972,8.14623702269327
"241",1,0.2,200,20,0.5,8.1097108,8.14729056147836
"242",1,0.2,200,20,0.6,8.107605,8.14856656712449
"243",1,0.2,200,20,0.75,8.1067142,8.13664460525289
"244",1,0.2,200,20,0.9,8.1076782,8.14857713211744
"245",1,0.2,200,20,1,8.1036152,8.14623702269327
"246",1,0.2,200,30,0.5,8.1069754,8.16413575313487
"247",1,0.2,200,30,0.6,8.1116446,8.16006008320017
"248",1,0.2,200,30,0.75,8.1099778,8.14446576239967
"249",1,0.2,200,30,0.9,8.1009922,8.14024561042573
"250",1,0.2,200,30,1,8.1023758,8.14623702269327
"251",1,0.2,500,3,0.5,8.10967,8.17497931484511
"252",1,0.2,500,3,0.6,8.1103236,8.16056845721732
"253",1,0.2,500,3,0.75,8.114791,8.17748453881449
"254",1,0.2,500,3,0.9,8.1145536,8.17018418952152
"255",1,0.2,500,3,1,8.1145794,8.17324718697987
"256",1,0.2,500,6,0.5,8.116172,8.1864835661895
"257",1,0.2,500,6,0.6,8.1021956,8.15156658521548
"258",1,0.2,500,6,0.75,8.1048488,8.16919683144229
"259",1,0.2,500,6,0.9,8.1006346,8.15029452477417
"260",1,0.2,500,6,1,8.1056808,8.14334594652359
"261",1,0.2,500,12,0.5,8.1059778,8.17784997298303
"262",1,0.2,500,12,0.6,8.1116048,8.11960496263391
"263",1,0.2,500,12,0.75,8.1067734,8.17470683825117
"264",1,0.2,500,12,0.9,8.1084302,8.14445815860205
"265",1,0.2,500,12,1,8.1042514,8.14623702269327
"266",1,0.2,500,20,0.5,8.11886,8.15058058412022
"267",1,0.2,500,20,0.6,8.1086594,8.16430347518528
"268",1,0.2,500,20,0.75,8.1077328,8.14733992667113
"269",1,0.2,500,20,0.9,8.1028282,8.13867908002875
"270",1,0.2,500,20,1,8.103783,8.14623702269327
"271",1,0.2,500,30,0.5,8.1168974,8.1753624213814
"272",1,0.2,500,30,0.6,8.1098464,8.14093376940492
"273",1,0.2,500,30,0.75,8.1101808,8.1325571242208
"274",1,0.2,500,30,0.9,8.104,8.14745008084399
"275",1,0.2,500,30,1,8.1028882,8.14623702269327
"276",1,0.2,1000,3,0.5,8.117946,8.16417368267915
"277",1,0.2,1000,3,0.6,8.1116636,8.17025477591513
"278",1,0.2,1000,3,0.75,8.11658,8.16104087344986
"279",1,0.2,1000,3,0.9,8.1113134,8.1782640690961
"280",1,0.2,1000,3,1,8.110613,8.17324718697987
"281",1,0.2,1000,6,0.5,8.10948,8.15307646260822
"282",1,0.2,1000,6,0.6,8.1128584,8.1375948313466
"283",1,0.2,1000,6,0.75,8.105339,8.13818632668051
"284",1,0.2,1000,6,0.9,8.101946,8.13479973501266
"285",1,0.2,1000,6,1,8.0984744,8.14334594652359
"286",1,0.2,1000,12,0.5,8.1129328,8.13773623454717
"287",1,0.2,1000,12,0.6,8.1127732,8.16197963968315
"288",1,0.2,1000,12,0.75,8.106776,8.12568236817987
"289",1,0.2,1000,12,0.9,8.1013532,8.16565056208976
"290",1,0.2,1000,12,1,8.0998966,8.14623702269327
"291",1,0.2,1000,20,0.5,8.10505,8.14887792425999
"292",1,0.2,1000,20,0.6,8.1149842,8.10987189533438
"293",1,0.2,1000,20,0.75,8.1058906,8.14585003644769
"294",1,0.2,1000,20,0.9,8.1003348,8.14114046213518
"295",1,0.2,1000,20,1,8.1004532,8.14623702269327
"296",1,0.2,1000,30,0.5,8.1033544,8.1357731267903
"297",1,0.2,1000,30,0.6,8.1086728,8.12740867827388
"298",1,0.2,1000,30,0.75,8.0997588,8.14719064900995
"299",1,0.2,1000,30,0.9,8.1072696,8.14531800053096
"300",1,0.2,1000,30,1,8.104373,8.14623702269327
"301",1,0.3,20,3,0.5,7.2032946,7.25003681952007
"302",1,0.3,20,3,0.6,7.1898624,7.24822516996977
"303",1,0.3,20,3,0.75,7.2034292,7.24159519800438
"304",1,0.3,20,3,0.9,7.2000066,7.24826157088644
"305",1,0.3,20,3,1,7.204924,7.25628700869295
"306",1,0.3,20,6,0.5,7.1998128,7.22807873614501
"307",1,0.3,20,6,0.6,7.1917144,7.23045291741518
"308",1,0.3,20,6,0.75,7.1865896,7.24546821929826
"309",1,0.3,20,6,0.9,7.182744,7.18577116796284
"310",1,0.3,20,6,1,7.1831398,7.20910242352065
"311",1,0.3,20,12,0.5,7.2001266,7.2227860923913
"312",1,0.3,20,12,0.6,7.185979,7.18996537701039
"313",1,0.3,20,12,0.75,7.1815182,7.2474696933058
"314",1,0.3,20,12,0.9,7.1858408,7.22189338495772
"315",1,0.3,20,12,1,7.1793038,7.21330932061513
"316",1,0.3,20,20,0.5,7.2162552,7.18968287548803
"317",1,0.3,20,20,0.6,7.1924006,7.23002078277262
"318",1,0.3,20,20,0.75,7.1873582,7.24364091154759
"319",1,0.3,20,20,0.9,7.1774644,7.23798577553114
"320",1,0.3,20,20,1,7.181755,7.21330932061513
"321",1,0.3,20,30,0.5,7.1984936,7.22018401541249
"322",1,0.3,20,30,0.6,7.1991962,7.21689782751549
"323",1,0.3,20,30,0.75,7.1958002,7.21463155051427
"324",1,0.3,20,30,0.9,7.1867864,7.2270042382563
"325",1,0.3,20,30,1,7.1923144,7.21330932061513
"326",1,0.3,200,3,0.5,7.1987518,7.24117915997727
"327",1,0.3,200,3,0.6,7.2056208,7.23636063854183
"328",1,0.3,200,3,0.75,7.2026602,7.24288879520374
"329",1,0.3,200,3,0.9,7.1977184,7.25493561924263
"330",1,0.3,200,3,1,7.201496,7.25628700869295
"331",1,0.3,200,6,0.5,7.2048402,7.22330670984683
"332",1,0.3,200,6,0.6,7.2090238,7.20543450739173
"333",1,0.3,200,6,0.75,7.189676,7.25611422244746
"334",1,0.3,200,6,0.9,7.1909904,7.23007476553766
"335",1,0.3,200,6,1,7.1929836,7.20910242352065
"336",1,0.3,200,12,0.5,7.196553,7.22938565771476
"337",1,0.3,200,12,0.6,7.1857514,7.17663481989788
"338",1,0.3,200,12,0.75,7.194581,7.24251064219801
"339",1,0.3,200,12,0.9,7.186576,7.21478615275847
"340",1,0.3,200,12,1,7.1896848,7.21330932061513
"341",1,0.3,200,20,0.5,7.2099838,7.20689885801268
"342",1,0.3,200,20,0.6,7.196543,7.22807135234216
"343",1,0.3,200,20,0.75,7.1961362,7.20720535529814
"344",1,0.3,200,20,0.9,7.1761736,7.22297801677298
"345",1,0.3,200,20,1,7.1878312,7.21330932061513
"346",1,0.3,200,30,0.5,7.203776,7.19388811879021
"347",1,0.3,200,30,0.6,7.198933,7.20442520999091
"348",1,0.3,200,30,0.75,7.1931212,7.22023922328217
"349",1,0.3,200,30,0.9,7.1927236,7.19944011556616
"350",1,0.3,200,30,1,7.1815146,7.21330932061513
"351",1,0.3,500,3,0.5,7.2101722,7.24011865549499
"352",1,0.3,500,3,0.6,7.2055868,7.25216744614301
"353",1,0.3,500,3,0.75,7.2059442,7.24404642686146
"354",1,0.3,500,3,0.9,7.2061256,7.24627823289113
"355",1,0.3,500,3,1,7.2008664,7.25628700869295
"356",1,0.3,500,6,0.5,7.1953158,7.21609491565519
"357",1,0.3,500,6,0.6,7.1952682,7.22770462155803
"358",1,0.3,500,6,0.75,7.1899222,7.22867223233775
"359",1,0.3,500,6,0.9,7.1833618,7.2141887012577
"360",1,0.3,500,6,1,7.1802262,7.20910242352065
"361",1,0.3,500,12,0.5,7.20058,7.2085847402347
"362",1,0.3,500,12,0.6,7.1878644,7.20218885592254
"363",1,0.3,500,12,0.75,7.186927,7.22796312282524
"364",1,0.3,500,12,0.9,7.1848942,7.20094025905452
"365",1,0.3,500,12,1,7.192358,7.21330932061513
"366",1,0.3,500,20,0.5,7.1934276,7.19672929537176
"367",1,0.3,500,20,0.6,7.196674,7.22744362203835
"368",1,0.3,500,20,0.75,7.1860824,7.22799424020257
"369",1,0.3,500,20,0.9,7.1776264,7.21972219454961
"370",1,0.3,500,20,1,7.1851738,7.21330932061513
"371",1,0.3,500,30,0.5,7.1898714,7.22970399525411
"372",1,0.3,500,30,0.6,7.1779178,7.23122476305665
"373",1,0.3,500,30,0.75,7.2010556,7.23223332457347
"374",1,0.3,500,30,0.9,7.1914146,7.20085281736281
"375",1,0.3,500,30,1,7.177991,7.21330932061513
"376",1,0.3,1000,3,0.5,7.2110648,7.22810642829686
"377",1,0.3,1000,3,0.6,7.205997,7.25010023739246
"378",1,0.3,1000,3,0.75,7.2061532,7.23240599167696
"379",1,0.3,1000,3,0.9,7.2040994,7.24833750995824
"380",1,0.3,1000,3,1,7.200316,7.25628700869295
"381",1,0.3,1000,6,0.5,7.1975852,7.24467203205992
"382",1,0.3,1000,6,0.6,7.1841056,7.22035711219865
"383",1,0.3,1000,6,0.75,7.1867644,7.24295227263165
"384",1,0.3,1000,6,0.9,7.1923998,7.21197273217676
"385",1,0.3,1000,6,1,7.1764998,7.20910242352065
"386",1,0.3,1000,12,0.5,7.2170154,7.24408264025052
"387",1,0.3,1000,12,0.6,7.194433,7.23359284081123
"388",1,0.3,1000,12,0.75,7.1899846,7.2259648991538
"389",1,0.3,1000,12,0.9,7.1900506,7.23302321042786
"390",1,0.3,1000,12,1,7.187155,7.21330932061513
"391",1,0.3,1000,20,0.5,7.1857774,7.21393179807763
"392",1,0.3,1000,20,0.6,7.1914692,7.24724412861958
"393",1,0.3,1000,20,0.75,7.19098,7.21720171523873
"394",1,0.3,1000,20,0.9,7.1858118,7.21172799940494
"395",1,0.3,1000,20,1,7.1801954,7.21330932061513
"396",1,0.3,1000,30,0.5,7.1890614,7.22460162202691
"397",1,0.3,1000,30,0.6,7.2037032,7.20290592246793
"398",1,0.3,1000,30,0.75,7.1894886,7.23864376227991
"399",1,0.3,1000,30,0.9,7.1871358,7.20106055487061
"400",1,0.3,1000,30,1,7.1852166,7.21330932061513
"401",1,0.4,20,3,0.5,6.3175706,6.35186058471789
"402",1,0.4,20,3,0.6,6.3354604,6.26397539544427
"403",1,0.4,20,3,0.75,6.3087828,6.33896647153988
"404",1,0.4,20,3,0.9,6.3067342,6.36219765023729
"405",1,0.4,20,3,1,6.3087242,6.35465362132326
"406",1,0.4,20,6,0.5,6.2902614,6.23793401844
"407",1,0.4,20,6,0.6,6.2886464,6.36232378405836
"408",1,0.4,20,6,0.75,6.2953584,6.32620551318158
"409",1,0.4,20,6,0.9,6.2795794,6.31649861252396
"410",1,0.4,20,6,1,6.285628,6.28786757205473
"411",1,0.4,20,12,0.5,6.3084686,6.30616195177391
"412",1,0.4,20,12,0.6,6.291502,6.26052748333018
"413",1,0.4,20,12,0.75,6.2687142,6.28025193457632
"414",1,0.4,20,12,0.9,6.2801024,6.32511646224313
"415",1,0.4,20,12,1,6.2739968,6.29324130571844
"416",1,0.4,20,20,0.5,6.2984554,6.31892325888067
"417",1,0.4,20,20,0.6,6.2831286,6.26071868928091
"418",1,0.4,20,20,0.75,6.2819558,6.32754173500086
"419",1,0.4,20,20,0.9,6.2723986,6.29892876613501
"420",1,0.4,20,20,1,6.2798748,6.29324130571844
"421",1,0.4,20,30,0.5,6.2972514,6.33517330702026
"422",1,0.4,20,30,0.6,6.296264,6.29445775734109
"423",1,0.4,20,30,0.75,6.2873278,6.27157536121014
"424",1,0.4,20,30,0.9,6.276332,6.28650502310685
"425",1,0.4,20,30,1,6.2649106,6.29324130571844
"426",1,0.4,200,3,0.5,6.2998614,6.3484774257577
"427",1,0.4,200,3,0.6,6.3111346,6.25712434115067
"428",1,0.4,200,3,0.75,6.3086762,6.36040977743329
"429",1,0.4,200,3,0.9,6.3103794,6.33463900302216
"430",1,0.4,200,3,1,6.301269,6.35465362132326
"431",1,0.4,200,6,0.5,6.3096656,6.29282785460958
"432",1,0.4,200,6,0.6,6.2913142,6.25394497019079
"433",1,0.4,200,6,0.75,6.2732264,6.34692059979865
"434",1,0.4,200,6,0.9,6.2812806,6.31639597113388
"435",1,0.4,200,6,1,6.2794958,6.28786757205473
"436",1,0.4,200,12,0.5,6.2846266,6.27937194714955
"437",1,0.4,200,12,0.6,6.2838518,6.26061022204673
"438",1,0.4,200,12,0.75,6.28889,6.24503149632835
"439",1,0.4,200,12,0.9,6.284487,6.27335987726967
"440",1,0.4,200,12,1,6.2822348,6.29324130571844
"441",1,0.4,200,20,0.5,6.2923916,6.29751020058129
"442",1,0.4,200,20,0.6,6.3001992,6.28149134237468
"443",1,0.4,200,20,0.75,6.2970602,6.30125385303965
"444",1,0.4,200,20,0.9,6.2863736,6.29193266438264
"445",1,0.4,200,20,1,6.2776384,6.29324130571844
"446",1,0.4,200,30,0.5,6.2800336,6.25930294862158
"447",1,0.4,200,30,0.6,6.2959564,6.34755227856231
"448",1,0.4,200,30,0.75,6.2818458,6.31014279661751
"449",1,0.4,200,30,0.9,6.2758404,6.31222891996135
"450",1,0.4,200,30,1,6.283591,6.29324130571844
"451",1,0.4,500,3,0.5,6.2950468,6.32252046993222
"452",1,0.4,500,3,0.6,6.291483,6.3207393271176
"453",1,0.4,500,3,0.75,6.3010084,6.34724062287478
"454",1,0.4,500,3,0.9,6.3049564,6.35569854747346
